date,Buy,Sell,All Buy (cash and derivative)
2018-06-13,18,-124,84
2018-06-14,19,-122,78
2018-06-15,17,-163,122
2018-06-18,14,-106,69
2018-06-19,10,-70,51
2018-06-20,11,-89,53
2018-06-21,12,-62,46
2018-06-22,11,-54,39
2018-06-25,8,-17,25
2018-06-26,1,-4,4
2018-06-28,8,-15,19
2018-06-29,12,-42,45
2018-07-02,8,-105,69
2018-07-03,5,-29,25
2018-07-05,5,-75,48
2018-07-06,7,-60,36
2018-07-09,6,-90,60
2018-07-10,6,-63,39
2018-07-11,4,-46,35
2018-07-12,6,-52,37
2018-07-13,8,-34,31
2018-07-16,15,-135,80
2018-07-17,6,-43,40
2018-07-18,7,-60,43
2018-07-19,6,-42,35
2018-07-20,6,-45,36
2018-07-23,10,-72,56
2018-07-24,10,-53,44
2018-07-25,11,-57,56
2018-07-26,14,-79,70
2018-07-27,24,-65,72
2018-07-30,17,-85,73
2018-07-31,33,-86,98
2018-08-01,23,-196,165
2018-08-02,21,-111,82
2018-08-03,33,-112,100
2018-08-06,27,-170,116
2018-08-07,24,-140,101
2018-08-08,33,-145,102
2018-08-09,35,-129,104
2018-08-10,36,-123,114
2018-08-13,32,-114,99
2018-08-14,40,-146,103
2018-08-15,31,-178,145
2018-08-16,28,-149,93
2018-08-17,22,-103,76
2018-08-20,19,-139,91
2018-08-21,19,-147,87
2018-08-22,16,-114,71
2018-08-23,21,-107,67
2018-08-24,19,-110,83
2018-08-27,11,-147,91
2018-08-28,20,-93,69
2018-08-29,13,-123,69
2018-08-30,9,-50,30
2018-08-31,15,-51,46
2018-09-04,26,-235,153
2018-09-05,19,-122,86
2018-09-06,25,-97,87
2018-09-07,17,-100,68
2018-09-10,20,-152,90
2018-09-11,9,-85,59
2018-09-12,19,-127,88
2018-09-13,21,-92,69
2018-09-14,20,-120,88
2018-09-17,18,-131,102
2018-09-18,13,-74,57
2018-09-19,9,-70,43
2018-09-20,13,-87,57
2018-09-21,11,-50,43
2018-09-24,9,-75,49
2018-09-25,14,-54,43
2018-09-26,8,-37,37
2018-09-27,16,-47,36
2018-09-28,11,-50,44
2018-10-01,12,-175,136
2018-10-02,10,-46,40
2018-10-03,6,-50,35
2018-10-04,6,-23,21
2018-10-05,13,-46,35
2018-10-08,5,-43,36
2018-10-09,12,-33,36
2018-10-10,9,-43,41
2018-10-12,8,-25,25
2018-10-15,16,-102,78
2018-10-16,8,-35,29
2018-10-17,12,-39,31
2018-10-18,6,-30,30
2018-10-19,19,-14,32
2018-10-22,20,-41,47
2018-10-23,23,-33,48
2018-10-24,19,-30,42
2018-10-25,20,-22,39
2018-10-26,29,-28,58
2018-10-29,37,-50,70
2018-10-30,28,-54,70
2018-10-31,31,-57,83
2018-11-01,42,-152,153
2018-11-02,34,-93,95
2018-11-05,42,-111,104
2018-11-06,51,-102,106
2018-11-07,23,-140,92
2018-11-08,16,-58,45
2018-11-09,37,-85,84
2018-11-12,52,-123,136
2018-11-13,53,-81,99
2018-11-14,42,-98,94
2018-11-15,43,-162,141
2018-11-16,40,-110,91
2018-11-19,49,-119,113
2018-11-20,38,-71,67
2018-11-21,10,-19,15
2018-11-23,13,-43,31
2018-11-26,31,-90,75
2018-11-27,29,-76,70
2018-11-28,28,-132,91
2018-11-29,24,-83,73
2018-11-30,26,-109,93
2018-12-03,12,-111,71
2018-12-04,29,-68,68
2018-12-06,64,-92,123
2018-12-07,43,-55,92
2018-12-10,44,-98,99
2018-12-11,47,-75,86
2018-12-12,40,-97,103
2018-12-13,50,-64,86
2018-12-14,66,-76,113
2018-12-17,38,-92,100
2018-12-18,26,-44,59
2018-12-19,31,-61,65
2018-12-20,34,-34,59
2018-12-21,10,-9,20
2018-12-24,9,-11,18
2018-12-26,32,-27,55
2018-12-27,18,-32,38
2018-12-28,8,-12,17
2018-12-31,13,-14,36
2019-01-02,15,-121,124
2019-01-03,10,-43,49
2019-01-04,10,-43,52
2019-01-07,5,-72,50
2019-01-08,4,-56,46
2019-01-09,9,-54,43
2019-01-10,10,-60,48
2019-01-11,6,-34,32
2019-01-14,8,-51,41
2019-01-15,6,-90,79
2019-01-16,7,-59,39
2019-01-17,4,-20,22
2019-01-18,4,-33,23
2019-01-22,7,-69,63
2019-01-23,4,-39,37
2019-01-24,6,-39,39
2019-01-25,7,-50,49
2019-01-28,14,-59,52
2019-01-29,10,-54,52
2019-01-30,9,-53,39
2019-01-31,13,-79,91
2019-02-01,18,-154,140
2019-02-04,10,-107,77
2019-02-05,13,-100,90
2019-02-06,9,-83,73
2019-02-07,15,-75,75
2019-02-08,16,-80,84
2019-02-11,17,-128,91
2019-02-12,15,-144,118
2019-02-13,10,-117,92
2019-02-14,7,-54,32
2019-02-15,13,-124,87
2019-02-19,20,-182,134
2019-02-20,15,-157,112
2019-02-21,16,-125,96
2019-02-22,13,-169,116
2019-02-25,21,-198,140
2019-02-26,11,-143,91
2019-02-27,17,-125,98
2019-02-28,25,-158,131
2019-03-01,29,-255,242
2019-03-04,20,-153,99
2019-03-05,23,-132,100
2019-03-06,33,-120,98
2019-03-07,25,-103,89
2019-03-08,30,-82,96
2019-03-11,25,-168,112
2019-03-12,24,-115,91
2019-03-13,18,-144,88
2019-03-14,34,-111,100
2019-03-15,27,-172,157
2019-03-18,14,-107,73
2019-03-19,9,-95,59
2019-03-20,19,-94,74
2019-03-21,12,-86,67
2019-03-22,23,-64,57
2019-03-25,12,-62,51
2019-03-26,7,-67,38
2019-03-27,13,-55,64
2019-03-28,16,-58,51
2019-03-29,11,-59,58
