Date,Transactions,Filings
2018 - Jun,7792,3496
2018 - Jul,14946,5492
2018 - Jul,3614,1280
2018 - Jul,140,60
2018 - Jul,3772,1520
2018 - Jul,4328,1428
2018 - Jul,6882,1936
2018 - Jul,4156,1478
2018 - Jul,3534,1108
2018 - Jul,3168,1204
2018 - Jul,4732,2002
2018 - Jul,7064,2682
2018 - Jul,4200,1488
2018 - Jul,6160,2120
2018 - Jul,4544,1694
2018 - Jul,3928,1322
2018 - Jul,6062,1902
2018 - Jul,5512,1824
2018 - Jul,7552,2396
2018 - Jul,5924,2082
2018 - Jul,7634,1938
2018 - Jul,7078,2192
2018 - Jul,10618,4102
2018 - Aug,14894,5102
2018 - Aug,7584,2756
2018 - Aug,5990,2024
2018 - Aug,7406,2628
2018 - Aug,7232,2328
2018 - Aug,5898,2312
2018 - Aug,8084,2760
2018 - Aug,8182,2707
2018 - Aug,8684,2508
2018 - Aug,8430,2762
2018 - Aug,14506,4498
2018 - Aug,7678,2426
2018 - Aug,6344,1970
2018 - Aug,8370,2712
2018 - Aug,7152,2340
2018 - Aug,6658,2016
2018 - Aug,6294,2184
2018 - Aug,6426,1670
2018 - Aug,7966,2170
2018 - Aug,5456,1714
2018 - Aug,5370,1792
2018 - Aug,6482,2016
2018 - Aug,7718,3146
2018 - Sep,500,136
2018 - Sep,14372,3848
2018 - Sep,10838,2358
2018 - Sep,10318,2286
2018 - Sep,6156,2078
2018 - Sep,11318,2922
2018 - Sep,7090,1858
2018 - Sep,12072,2478
2018 - Sep,9082,2242
2018 - Sep,7746,2826
2018 - Sep,9126,2390
2018 - Sep,6808,1980
2018 - Sep,5062,1812
2018 - Sep,5356,1882
2018 - Sep,3200,1172
2018 - Sep,6620,1494
2018 - Sep,6742,2232
2018 - Sep,9198,2000
2018 - Sep,7016,1562
2018 - Sep,14466,4642
2018 - Oct,23446,9606
2018 - Oct,9374,1922
2018 - Oct,5060,1388
2018 - Oct,9022,1706
2018 - Oct,12003,2037
2018 - Oct,3744,978
2018 - Oct,8816,1586
2018 - Oct,4488,1286
2018 - Oct,8238,1486
2018 - Oct,6048,1360
2018 - Oct,13714,3600
2018 - Oct,4302,1378
2018 - Oct,8842,1988
2018 - Oct,4788,1328
2018 - Oct,7998,1450
2018 - Oct,7616,1578
2018 - Oct,8800,1992
2018 - Oct,5312,1524
2018 - Oct,7806,1670
2018 - Oct,5658,1894
2018 - Oct,10178,1884
2018 - Oct,7354,1966
2018 - Oct,14795,3305
2018 - Nov,14640,4444
2018 - Nov,11648,2662
2018 - Nov,6714,2368
2018 - Nov,6046,2056
2018 - Nov,6426,2452
2018 - Nov,13812,2758
2018 - Nov,8750,2500
2018 - Nov,12316,2878
