Date,ADAS,HFR Equity Hedge Index
2017-09-28,125.091181458,106.946140986
2017-09-29,125.145329223,107.17225009
2017-09-30,125.145329223,107.17225009
2017-10-01,125.145329223,107.17225009
2017-10-02,125.145329223,107.446873025
2017-10-03,125.871401522,107.691174816
2017-10-04,125.55389872,107.839315264
2017-10-05,125.825868174,107.897358597
2017-10-06,125.733570848,107.865304816
2017-10-07,125.733570848,107.865304816
2017-10-08,125.733570848,107.865304816
2017-10-09,125.392686057,107.833251035
2017-10-10,125.609277116,108.008247353
2017-10-11,125.222858977,108.076686507
2017-10-12,125.107179662,107.974460935
2017-10-13,124.879512924,107.986589393
2017-10-14,124.879512924,107.986589393
2017-10-15,124.879512924,107.986589393
2017-10-16,124.783523705,107.973594617
2017-10-17,124.865975983,107.81419203
2017-10-18,124.865975983,107.861839542
2017-10-19,124.548473181,107.786469841
2017-10-20,124.430332604,107.939808199
2017-10-21,124.430332604,107.939808199
2017-10-22,124.430332604,107.939808199
2017-10-23,124.382337994,107.747485513
2017-10-24,124.139903684,107.864438498
2017-10-25,124.067296454,107.717164369
2017-10-26,124.059912668,107.497119494
2017-10-27,125.005037288,107.846245812
2017-10-28,125.005037288,107.846245812
2017-10-29,125.005037288,107.846245812
2017-10-30,125.005037288,107.899091235
2017-10-31,124.29250193,108.01604422
2017-11-01,123.792865738,108.197104767
2017-11-02,123.799018893,107.998717852
2017-11-03,123.684570209,108.13559616
2017-11-04,123.684570209,108.13559616
2017-11-05,123.684570209,108.13559616
2017-11-06,123.476593567,108.702168398
2017-11-07,122.743137482,108.17891208
2017-11-08,122.876045632,108.017776856
2017-11-09,122.396099536,107.671249493
2017-11-10,122.505625696,107.85750795
2017-11-11,122.505625696,107.85750795
2017-11-12,122.505625696,107.85750795
2017-11-13,122.829281653,107.595879791
2017-11-14,122.356719343,107.358508548
2017-11-15,122.105670616,107.050099195
2017-11-16,122.494550017,107.568157602
2017-11-17,122.938807814,107.758747651
2017-11-18,122.938807814,107.758747651
2017-11-19,122.938807814,107.758747651
2017-11-20,123.522126915,107.752683422
2017-11-21,123.875318016,108.332250436
2017-11-22,124.484480369,108.454401331
2017-11-23,124.361417267,108.454401331
2017-11-24,124.217433438,108.474326654
2017-11-25,124.217433438,108.474326654
2017-11-26,124.217433438,108.474326654
2017-11-27,124.069757716,108.081018097
2017-11-28,124.30480824,108.608606007
2017-11-29,124.570624539,108.74808327
2017-11-30,124.685073223,108.961197598
2017-12-01,123.850705395,108.787067598
2017-12-02,123.850705395,108.787067598
2017-12-03,123.850705395,108.787067598
2017-12-04,124.373723577,108.814789787
2017-12-05,123.763330593,108.288068196
2017-12-06,123.43229085,107.782138247
2017-12-07,123.326456583,108.121735062
2017-12-08,123.326456583,108.750682225
2017-12-09,123.326456583,108.750682225
2017-12-10,123.326456583,108.750682225
2017-12-11,123.111096155,108.846843568
